Site Code,Site Name,Voltage (kV)
PORA,PORT ANN,33.0
QUOI,QUOICH,132.0
RANN,RANNOCH,132.0
RANN,RANNOCH,33.0
ROTI,ROTHIENORMAN,400.0
SALM,SALAMANDER OFFSHORE WIND FARM,132.0
SFEE,ST FERGUS EAST,11.0
SFEM,ST FERGUS MOBIL,132.0
SFER,ST FERGUS,132.0
SFIL,ST FILLANS,11.0
SGRX,SEAGREEN ONE 275KV ONSHORE,275.0
SHIN,SHIN,132.0
SHIN,SHIN,33.0
SLKB,SLACKBUIE,132.0
SLOY,SLOY,11.0
STNG,STANNERGATE,33.0
STNG,STANNERGATE,132.0
STRB,STRATH BRORA WIND,33.0
STRI,STRICHEN,132.0
STRI,STRICHEN,33.0
STRL,STRONELAIRG WIND FARM (SSE),33.0
STRW,STRATHY WIND,33.0
STSO,STRATHY SOUTH,132.0
STSO,STRATHY SOUTH,33.0
STWO,STRATHY WOOD,132.0
TAYN,TAYNUILT,132.0
TEAL,TEALING,132.0
TEAL,TEALING,275.0
TEAL,TEALING,33.0
THUS,THURSO SOUTH,132.0
THUS,THURSO SOUTH,275.0
THUS,THURSO SOUTH,33.0
TNGF,TANGY IV,132.0
TOMT,TOMATIN,275.0
TUMB,TUMMEL BRIDGE,11.0
TUMM,TUMMEL,132.0
WHTB,WHISTLEFIELD BORDER,132.0
WIOW,WILLOWDALE,132.0
WOHI,WOODHILL,132.0
